# dft_x model_x dft_y model_y dft_z model_z diff_x diff_y diff_z
0.074315 0.071988 0.100312 0.148025 -0.114032 -0.101428 0.002328 0.047714 0.012604
-0.040021 -0.040403 0.138554 0.126656 0.077990 0.040653 0.000382 0.011898 0.037337
0.150819 0.136653 0.053619 0.082206 0.240380 0.229534 0.014166 0.028587 0.010845
0.037286 0.061873 -0.079910 -0.055531 0.203722 0.185770 0.024587 0.024379 0.017951
-0.106703 -0.114368 -0.136855 -0.106337 -0.064093 -0.043174 0.007665 0.030519 0.020920
-0.046106 -0.023804 0.043895 0.064792 -0.112274 -0.120722 0.022302 0.020896 0.008448
-0.090939 -0.073750 0.019249 -0.006282 0.073459 0.096021 0.017188 0.025531 0.022562
0.074062 0.074414 0.068464 0.064523 -0.254986 -0.281325 0.000352 0.003941 0.026339
-0.047788 -0.059276 0.164796 0.174304 -0.133103 -0.131189 0.011488 0.009508 0.001914
-0.284744 -0.280454 0.513947 0.506064 -0.087496 -0.084503 0.004289 0.007883 0.002993
-0.534587 -0.531979 -0.243507 -0.250490 -0.255551 -0.257423 0.002608 0.006983 0.001871
-0.136378 -0.124346 -0.036015 -0.051008 -0.076685 -0.079356 0.012032 0.014993 0.002671
0.151588 0.139088 -0.353000 -0.355438 0.289370 0.273035 0.012500 0.002438 0.016336
0.352738 0.353178 -0.535602 -0.533260 0.028424 0.041481 0.000440 0.002343 0.013058
-0.067706 -0.057514 0.268099 0.256439 -0.221635 -0.216146 0.010192 0.011661 0.005488
0.119344 0.153924 0.120364 0.116828 -0.057971 -0.051217 0.034580 0.003536 0.006754
-0.085115 -0.086803 -0.100348 -0.087667 -0.145929 -0.127147 0.001688 0.012681 0.018782
0.022144 0.036145 0.039304 0.037142 -0.116730 -0.122119 0.014000 0.002162 0.005389
0.023406 0.064674 -0.231302 -0.206522 0.043875 0.052421 0.041268 0.024780 0.008546
-0.159662 -0.165161 0.158295 0.131761 -0.070644 -0.062880 0.005499 0.026534 0.007763
-0.110314 -0.071404 -0.021346 -0.015261 0.156031 0.133813 0.038909 0.006085 0.022219
-0.029954 -0.008421 -0.126295 -0.120509 0.269433 0.256221 0.021533 0.005786 0.013212
-0.031141 -0.022629 -0.022605 -0.028178 -0.384019 -0.406109 0.008512 0.005573 0.022090
-0.132567 -0.102982 -0.015033 -0.028282 -0.010554 -0.018384 0.029584 0.013248 0.007830
0.033393 0.031928 0.019135 0.009724 0.146017 0.123950 0.001465 0.009411 0.022067
0.027893 0.037499 -0.038298 -0.030667 0.014308 -0.003182 0.009606 0.007631 0.017490
0.141400 0.147984 0.186931 0.165616 -0.168429 -0.181592 0.006584 0.021315 0.013162
0.002429 0.003201 -0.173035 -0.157296 -0.035580 -0.051262 0.000773 0.015739 0.015682
-0.028686 -0.028376 0.304121 0.298545 -0.237725 -0.221470 0.000310 0.005576 0.016255
-0.030678 -0.036679 0.010411 0.027124 -0.020991 -0.034716 0.006000 0.016712 0.013726
0.187440 0.195186 0.072473 0.072220 0.118098 0.116936 0.007746 0.000252 0.001162
0.069910 0.076549 -0.363688 -0.362201 -0.249576 -0.222305 0.006639 0.001487 0.027271
-0.000490 0.014173 -0.022132 -0.028421 -0.065286 -0.064677 0.014664 0.006288 0.000609
0.084787 0.095514 0.325120 0.322676 0.134873 0.127626 0.010727 0.002444 0.007246
0.043148 0.037660 0.013590 -0.001757 0.558773 0.530513 0.005487 0.015347 0.028260
0.045459 0.075293 -0.052824 -0.090938 -0.288097 -0.301690 0.029834 0.038113 0.013593
-0.005083 -0.025963 0.042204 0.028246 0.407344 0.394436 0.020880 0.013958 0.012907
-0.179176 -0.147668 0.112917 0.144754 0.110313 0.114208 0.031508 0.031837 0.003895
-0.074327 -0.053316 0.221306 0.210492 0.077355 0.080068 0.021011 0.010814 0.002714
0.073916 0.010859 -0.097293 -0.116796 -0.093243 -0.101152 0.063057 0.019503 0.007910
-0.031469 -0.033970 -0.129840 -0.127417 -0.219081 -0.220470 0.002501 0.002423 0.001390
-0.116266 -0.138464 -0.082299 -0.086149 0.365869 0.350032 0.022198 0.003850 0.015837
-0.031310 -0.003850 0.006289 -0.021103 -0.162466 -0.150432 0.027460 0.027391 0.012035
0.064910 0.090469 0.026703 0.037420 0.145640 0.142609 0.025558 0.010716 0.003031
-0.008501 -0.014625 0.151737 0.139403 -0.225898 -0.189438 0.006124 0.012334 0.036460
0.020692 0.044536 -0.055540 -0.093873 -0.127343 -0.141373 0.023844 0.038333 0.014030
0.124144 0.129523 0.094965 0.106519 -0.087280 -0.085715 0.005379 0.011554 0.001566
-0.057786 -0.052418 0.165108 0.163726 -0.072063 -0.091734 0.005368 0.001382 0.019671
-0.078617 -0.085219 0.172577 0.181169 -0.162964 -0.155703 0.006602 0.008593 0.007261
0.182685 0.194488 0.093574 0.089768 -0.110374 -0.115520 0.011802 0.003806 0.005145
0.330036 0.338104 -0.096446 -0.103442 0.210402 0.221096 0.008068 0.006996 0.010694
0.203898 0.199176 0.023503 0.016405 -0.110212 -0.089610 0.004722 0.007098 0.020602
0.323685 0.339835 -0.174747 -0.178993 -0.250383 -0.259177 0.016150 0.004246 0.008794
-0.141169 -0.137353 -0.072763 -0.080801 0.167844 0.164317 0.003816 0.008038 0.003527
-0.088425 -0.102116 -0.099856 -0.086758 0.343057 0.318528 0.013691 0.013099 0.024529
0.095507 0.069095 -0.319241 -0.304627 -0.124027 -0.139933 0.026413 0.014614 0.015906
0.173936 0.152597 0.195494 0.154998 0.103835 0.106659 0.021338 0.040496 0.002824
0.062173 0.067760 0.102949 0.128430 -0.048564 -0.052185 0.005587 0.025481 0.003621
0.004060 0.004022 -0.210193 -0.254994 -0.061335 -0.028928 0.000038 0.044801 0.032407
-0.202900 -0.214290 0.105542 0.082521 0.227960 0.244719 0.011389 0.023021 0.016758
0.092443 0.068961 -0.108167 -0.079550 0.202166 0.226053 0.023482 0.028617 0.023887
-0.043282 -0.051959 0.142286 0.111347 0.011003 0.014753 0.008677 0.030939 0.003750
0.156579 0.150908 0.153392 0.164595 -0.060184 -0.067826 0.005670 0.011204 0.007643
-0.096763 -0.055109 -0.074921 -0.050516 0.069074 0.064676 0.041654 0.024405 0.004399
0.013287 -0.030890 -0.116198 -0.099891 -0.154597 -0.122262 0.044177 0.016306 0.032334
-0.210407 -0.224791 0.033248 0.024366 -0.269356 -0.245987 0.014384 0.008882 0.023369
-0.150718 -0.120502 0.191078 0.170227 -0.189225 -0.198611 0.030216 0.020852 0.009386
0.842815 0.836793 -0.028285 -0.019084 -0.308128 -0.282937 0.006022 0.009201 0.025190
-0.180920 -0.168021 -0.207486 -0.210930 -0.385433 -0.379178 0.012900 0.003444 0.006255
-0.194621 -0.192592 -0.142954 -0.158862 -0.311748 -0.323162 0.002028 0.015908 0.011414
0.301425 0.305303 0.108622 0.101733 -0.138689 -0.114643 0.003879 0.006889 0.024046
0.026239 0.030096 0.179620 0.167192 0.245110 0.259100 0.003857 0.012428 0.013991
0.313422 0.320309 0.423624 0.416450 0.110249 0.107493 0.006888 0.007174 0.002756
-0.263513 -0.261236 -0.238655 -0.243840 0.105281 0.093253 0.002278 0.005184 0.012029
-0.051317 -0.060740 0.005572 0.010276 0.034587 0.026990 0.009422 0.004704 0.007596
-0.145256 -0.136126 0.185248 0.211897 -0.263566 -0.280619 0.009131 0.026649 0.017053
-0.513929 -0.516853 -0.089384 -0.109146 0.003179 -0.012780 0.002924 0.019762 0.015959
-0.355996 -0.376815 -0.170141 -0.168000 0.296303 0.294489 0.020818 0.002142 0.001814
0.342176 0.339542 -0.291866 -0.313967 0.136992 0.140204 0.002634 0.022102 0.003212
0.006543 0.032429 0.203369 0.166825 -0.047338 -0.043157 0.025886 0.036544 0.004181
-0.097989 -0.061788 -0.130572 -0.142158 0.257502 0.213686 0.036201 0.011586 0.043817
-0.045317 -0.051822 0.269245 0.259827 -0.304189 -0.299173 0.006505 0.009417 0.005016
0.182093 0.201071 0.159685 0.156425 -0.028376 -0.012375 0.018979 0.003259 0.016000
-0.609525 -0.567268 -0.025653 0.018151 0.103697 0.090307 0.042257 0.043804 0.013390
0.136307 0.089868 -0.448873 -0.471299 0.109795 0.121172 0.046438 0.022426 0.011378
-0.061035 -0.020770 0.365399 0.355585 0.376766 0.373397 0.040265 0.009814 0.003369
-0.435226 -0.444351 0.058970 0.022545 0.163992 0.170706 0.009126 0.036425 0.006713
-0.560839 -0.542895 0.270500 0.274579 0.332291 0.338171 0.017944 0.004079 0.005880
-0.345384 -0.345555 -0.110572 -0.098147 -0.058242 -0.062026 0.000171 0.012425 0.003783
0.270555 0.266963 0.369503 0.362926 -0.602633 -0.601362 0.003592 0.006577 0.001272
-0.226075 -0.240921 0.068076 0.053368 -0.339438 -0.314990 0.014846 0.014708 0.024449
0.279780 0.295040 0.131047 0.116043 0.219173 0.197768 0.015260 0.015004 0.021405
-0.212102 -0.212601 -0.380434 -0.385943 0.275975 0.257877 0.000499 0.005509 0.018098
0.486488 0.488421 -0.391549 -0.378487 0.224685 0.225785 0.001934 0.013062 0.001100
-0.376632 -0.381528 -0.127063 -0.136538 -0.064391 -0.073015 0.004895 0.009475 0.008623
-0.219665 -0.193029 0.265678 0.281308 -0.102917 -0.112137 0.026636 0.015630 0.009220
0.089228 0.061697 -0.134898 -0.138244 0.326977 0.308441 0.027530 0.003345 0.018536
0.191707 0.199700 -0.041519 -0.070817 -0.250829 -0.249264 0.007992 0.029298 0.001565
-0.371821 -0.359433 -0.345298 -0.310684 0.273460 0.275647 0.012387 0.034613 0.002187
-0.168686 -0.158929 -0.382506 -0.368414 -0.246017 -0.243852 0.009757 0.014092 0.002166
