atom_id_ref,layer,component,ΔBEC_xx,x,y,ΔBEC_xy,ΔBEC_xz,ΔBEC_yx,ΔBEC_yy,ΔBEC_yz,ΔBEC_zx,ΔBEC_zy,ΔBEC_zz
27933,A,xx,-0.3070299999999997,17.3383,132.927,,,,,,,,
26025,A,xx,0.65855,1.92647,136.78,,,,,,,,
26505,A,xx,-0.22113000000000005,5.77942,136.78,,,,,,,,
26985,A,xx,0.65814,9.63237,136.78,,,,,,,,
27465,A,xx,-0.22243999999999975,13.4853,136.78,,,,,,,,
27945,A,xx,0.6563600000000003,17.3383,136.78,,,,,,,,
26037,A,xx,-0.21182999999999996,1.92647,140.633,,,,,,,,
26517,A,xx,0.7059700000000002,5.77942,140.633,,,,,,,,
26997,A,xx,-0.21527999999999992,9.63237,140.633,,,,,,,,
27477,A,xx,0.70675,13.4853,140.633,,,,,,,,
27957,A,xx,-0.21625000000000005,17.3383,140.633,,,,,,,,
26049,A,xx,0.6969099999999999,1.92647,144.486,,,,,,,,
26061,A,xx,-0.20209999999999972,1.92647,148.339,,,,,,,,
26529,A,xx,-0.20648,5.77942,144.486,,,,,,,,
26541,A,xx,0.70018,5.77942,148.339,,,,,,,,
27009,A,xx,0.6956600000000002,9.63237,144.486,,,,,,,,
27021,A,xx,-0.20501999999999976,9.63237,148.339,,,,,,,,
27489,A,xx,-0.20820000000000016,13.4853,144.486,,,,,,,,
27501,A,xx,0.7018900000000001,13.4853,148.339,,,,,,,,
27969,A,xx,0.69543,17.3383,144.486,,,,,,,,
27981,A,xx,-0.2041299999999997,17.3383,148.339,,,,,,,,
26073,A,xx,0.7034199999999999,1.92647,152.191,,,,,,,,
26553,A,xx,-0.21202999999999994,5.77942,152.191,,,,,,,,
27033,A,xx,0.7056,9.63237,152.191,,,,,,,,
27513,A,xx,-0.21201999999999988,13.4853,152.191,,,,,,,,
27993,A,xx,0.7018900000000001,17.3383,152.191,,,,,,,,
28005,A,xx,0.3073800000000002,21.1912,1.92647,,,,,,,,
28485,A,xx,-0.30291999999999986,25.0442,1.92647,,,,,,,,
28965,A,xx,0.30547000000000013,28.8971,1.92647,,,,,,,,
29445,A,xx,-0.3032999999999997,32.7501,1.92647,,,,,,,,
29925,A,xx,0.2932800000000002,36.603,1.92647,,,,,,,,
28017,A,xx,-0.2901699999999998,21.1912,5.77942,,,,,,,,
28029,A,xx,0.6608700000000001,21.1912,9.63237,,,,,,,,
28497,A,xx,0.7174900000000002,25.0442,5.77942,,,,,,,,
28509,A,xx,-0.19842999999999966,25.0442,9.63237,,,,,,,,
28977,A,xx,-0.28953000000000007,28.8971,5.77942,,,,,,,,
28989,A,xx,0.6610200000000002,28.8971,9.63237,,,,,,,,
29457,A,xx,0.7167400000000002,32.7501,5.77942,,,,,,,,
29469,A,xx,-0.19967999999999986,32.7501,9.63237,,,,,,,,
29937,A,xx,-0.28648000000000007,36.603,5.77942,,,,,,,,
29949,A,xx,0.66031,36.603,9.63237,,,,,,,,
28041,A,xx,-0.18930999999999987,21.1912,13.4853,,,,,,,,
28521,A,xx,0.6970100000000001,25.0442,13.4853,,,,,,,,
29001,A,xx,-0.18869999999999987,28.8971,13.4853,,,,,,,,
29481,A,xx,0.6971500000000002,32.7501,13.4853,,,,,,,,
29961,A,xx,-0.18760999999999983,36.603,13.4853,,,,,,,,
28053,A,xx,0.6844200000000003,21.1912,17.3383,,,,,,,,
28533,A,xx,-0.18808999999999987,25.0442,17.3383,,,,,,,,
29013,A,xx,0.6863900000000003,28.8971,17.3383,,,,,,,,
29493,A,xx,-0.18839999999999968,32.7501,17.3383,,,,,,,,
29973,A,xx,0.6865399999999999,36.603,17.3383,,,,,,,,
28065,A,xx,-0.1845399999999997,21.1912,21.1912,,,,,,,,
28545,A,xx,0.6882200000000003,25.0442,21.1912,,,,,,,,
29025,A,xx,-0.18550999999999984,28.8971,21.1912,,,,,,,,
29505,A,xx,0.6896800000000001,32.7501,21.1912,,,,,,,,
29985,A,xx,-0.18461000000000016,36.603,21.1912,,,,,,,,
28077,A,xx,0.6896800000000001,21.1912,25.0442,,,,,,,,
28557,A,xx,-0.18125999999999998,25.0442,25.0442,,,,,,,,
29037,A,xx,0.68838,28.8971,25.0442,,,,,,,,
29517,A,xx,-0.1841499999999998,32.7501,25.0442,,,,,,,,
29997,A,xx,0.6927099999999999,36.603,25.0442,,,,,,,,
28089,A,xx,-0.17829999999999968,21.1912,28.8971,,,,,,,,
28101,A,xx,0.6937899999999999,21.1912,32.7501,,,,,,,,
28569,A,xx,0.6931600000000002,25.0442,28.8971,,,,,,,,
28581,A,xx,-0.1743699999999997,25.0442,32.7501,,,,,,,,
29049,A,xx,-0.17756999999999978,28.8971,28.8971,,,,,,,,
29061,A,xx,0.6952600000000002,28.8971,32.7501,,,,,,,,
29529,A,xx,0.6924600000000001,32.7501,28.8971,,,,,,,,
29541,A,xx,-0.17481999999999998,32.7501,32.7501,,,,,,,,
30009,A,xx,-0.17967999999999984,36.603,28.8971,,,,,,,,
30021,A,xx,0.6974100000000001,36.603,32.7501,,,,,,,,
28113,A,xx,-0.17372999999999994,21.1912,36.603,,,,,,,,
28593,A,xx,0.6957400000000002,25.0442,36.603,,,,,,,,
29073,A,xx,-0.17113999999999985,28.8971,36.603,,,,,,,,
29553,A,xx,0.6992099999999999,32.7501,36.603,,,,,,,,
30033,A,xx,-0.1710799999999999,36.603,36.603,,,,,,,,
28125,A,xx,0.6966200000000002,21.1912,40.456,,,,,,,,
28605,A,xx,-0.17511999999999972,25.0442,40.456,,,,,,,,
29085,A,xx,0.6976800000000001,28.8971,40.456,,,,,,,,
