ix,iy,x,y,Px,Py,Pz,Pab,Pmag
13,13,52.80799198,52.79905186,-44.94418317,35.6816821,-34.92778972,57.38607878,67.17970328
14,13,56.71969509,52.79905186,-40.61301208,19.12792523,-25.05522857,44.89202907,51.41068715
15,13,60.6313982,52.79905186,-33.28173115,-46.26242242,35.43646293,56.99022158,67.10907733
16,13,64.54310131,52.79905186,-34.8038684,-44.69102952,36.22918873,56.6444823,67.23950841
17,13,68.45480442,52.79905186,-36.08970435,-42.8360407,36.51243382,56.01243739,66.86217889
18,13,72.36650753,52.79905186,-34.789401,-42.93958222,35.92286553,55.26400404,65.91329464
19,13,76.27821064,52.79905186,-34.10737899,-43.10389295,37.07670751,54.96597938,66.30189385
0,14,1.955851555,56.71009274,-22.87987973,-39.96697845,26.12427484,46.05266836,52.94644462
1,14,5.867554665,56.71009274,-23.14703347,-29.35909168,25.35061323,37.38638018,45.17073183
2,14,9.779257774,56.71009274,-39.01727913,-7.545599931,26.30733435,39.74020821,47.65878711
3,14,13.69096088,56.71009274,-39.31961808,40.21003359,-31.08020704,56.2394805,64.25619376
4,14,17.60266399,56.71009274,-35.11771201,39.74708085,-32.80062511,53.03851556,62.36156782
5,14,21.5143671,56.71009274,-34.90636955,42.04124713,-34.87562722,54.64358238,64.82461314
6,14,25.42607021,56.71009274,-35.15936907,40.83861616,-33.92816864,53.88853128,63.67962335
7,14,29.33777332,56.71009274,-35.90529524,41.36923963,-35.20400812,54.77777117,65.11471725
8,14,33.24947643,56.71009274,-36.59899038,42.95302751,-33.30528382,56.43091944,65.52625886
